RIVER	MILE	SPECIES	LENGTH	WEIGHT	DDT
TR	310	SMBUFFALO	48	1707	4.8
TR	310	SMBUFFALO	38	862	5.7
TR	310	SMBUFFALO	38.5	911	3.3
TR	315	CCATFISH	29.5	476	3.3
TR	315	CCATFISH	42	743	3.7
TR	315	CCATFISH	47.5	1128	9.9
TR	315	CCATFISH	43.5	848	6.8
TR	315	CCATFISH	47.5	1091	13
TR	315	CCATFISH	43.5	715	8.8
TR	320	CCATFISH	47.5	983	57
TR	320	CCATFISH	51.5	1251	96
TR	320	CCATFISH	49.5	1255	360
TR	320	CCATFISH	47	1152	130
TR	320	CCATFISH	47.5	1085	13
TR	320	CCATFISH	47	1118	61
TR	320	SMBUFFALO	36	1285	12
TR	320	SMBUFFALO	34.5	1178	33
TR	320	SMBUFFALO	44.5	1492	48
TR	320	SMBUFFALO	46	1524	10
TR	320	SMBUFFALO	46	1473	44
TR	320	SMBUFFALO	32.5	520	0.43
TR	325	CCATFISH	46	863	1100
TR	325	CCATFISH	40	549	9.4
TR	325	CCATFISH	43.5	810	4.1
TR	325	CCATFISH	46.5	908	2.8
TR	325	CCATFISH	43	804	0.74
TR	325	CCATFISH	47.5	1179	14
TR	330	CCATFISH	32	556	22
TR	330	CCATFISH	40.5	659	9.1
TR	330	CCATFISH	51.5	1229	140
TR	330	CCATFISH	48	1050	4.2
TR	330	CCATFISH	47	952	12
TR	330	CCATFISH	41	826	2
TR	330	SMBUFFALO	33.5	599	0.3
TR	330	SMBUFFALO	47	1704	1.2
TR	340	CCATFISH	50	1207	7.1
TR	340	CCATFISH	45	911	180
TR	340	CCATFISH	49	1498	1.5
TR	340	CCATFISH	49.5	1496	2.4
TR	340	CCATFISH	50	1142	4.3
TR	340	CCATFISH	45	879	3.9
TR	340	SMBUFFALO	32.5	525	0.99
TR	340	SMBUFFALO	38	806	0.45
TR	340	SMBUFFALO	38.5	694	2.5
TR	340	SMBUFFALO	36	643	0.25
TR	345	LMBASS	26.5	514	0.58
TR	345	LMBASS	23.5	358	2
TR	345	LMBASS	30	856	2.2
TR	345	LMBASS	29	793	7.4
TR	345	LMBASS	17.5	173	0.35
TR	345	LMBASS	36	1433	1.9
